,name,cost,level,quantity,total_time,nb_of_ingredients,length_ingredients,beurre,oignon,oeuf,type
53,Carpe à l'alsacienne,2,2,4,60,12,253,0,Yes,0,Plat principal
54,carpe frite,1,1,4,16,6,84,0,No,0,Plat principal
55,Carpe au beurre rouge,2,2,5,50,8,173,125,No,0,Plat principal
56,Carottes vichy,1,1,4,40,4,84,50,No,0,Plat principal
57,Flan de carottes,1,1,6,70,8,164,0,No,2,Accompagnement
58,Carottes à la carbonara,1,1,2,25,7,150,0,Yes,2,Plat principal
59,Purée de carottes,1,1,4,25,8,201,1,No,0,Accompagnement
60,Liqueur de cassis,2,1,3,30,8,189,0,No,0,Boisson
61,Sirop de cassis,3,1,1,20,2,42,0,No,0,Boisson
62,Crème au cassis,2,1,3,25,9,224,0,No,1,Dessert
63,Macarons au cassis,2,1,45,60,6,168,0,No,150,Dessert
64,Muffins au cassis,2,1,12,55,8,215,110,No,2,Dessert
65,Crème de céleri,1,1,4,75,9,195,0,Yes,2,Entrée
66,Escalopes de céleri,2,1,4,40,5,77,0,No,0,Plat principal
67,Tatin de Céleri,1,1,4,55,5,87,0,No,0,Accompagnement
68,Celeri rémoulade,1,1,4,36,9,239,0,No,0,Entrée
69,Quiche aux cèpes,2,2,4,80,12,245,1,No,2,Entrée
70,Lasagnes aux cèpes,2,2,4,50,9,191,20,No,0,Plat principal
71,Risotto aux cèpes très facile,1,2,2,90,10,228,25,Yes,0,Plat principal
72,Tagliatelles aux cèpes,2,2,4,40,9,230,30,No,0,Plat principal
73,Velouté de cèpes,2,1,4,45,8,203,30,No,2,Entrée
74,Cerfeuil tubéreux,1,1,4,40,11,233,20,Yes,0,Accompagnement
75,Crème de cerfeuil,1,1,6,60,6,129,0,Yes,0,Entrée
76,Velouté de laitue au cerfeuil,2,1,6,45,8,161,45,No,0,Entrée
77,Côte de boeuf parfumée au cerfeuil,1,1,4,30,8,128,0,No,2,Plat principal
78,Soupe aux navets et cerfeuil,1,1,4,45,6,108,0,No,0,Entrée
79,Clafoutis grand-mère aux cerises,1,1,8,40,9,202,40,No,4,Dessert
80,Cake à la feta et tomates cerise,1,1,4,70,10,253,0,No,4,Entrée
81,Crumble aux cerises,1,1,4,45,5,119,100,No,0,Dessert
82,Chaussons aux cerises,2,1,4,45,6,155,0,No,1,Dessert
83,Cake salé jambon ciboulette,1,1,6,50,11,272,1,No,3,Entrée
84,Sauce ciboulette,1,1,4,25,7,152,40,No,0,Sauce
85,Saumon à la ciboulette,1,2,4,30,6,120,200,No,0,Plat principal
86,Blinis faciles à la ciboulette,2,1,2,10,5,142,0,No,0,Amuse-gueule
87,Madeleines au citron,2,1,18,27,6,122,90,No,3,Dessert
88,Velouté de champignons,1,1,3,50,11,282,3,Yes,0,Entrée
89,Soupe de champignons,2,1,5,40,10,192,0,Yes,0,Entrée
90,Rôti de veau en cocotte aux champignons,1,2,6,50,10,268,40,Yes,0,Plat principal
91,Velouté de potiron aux châtaignes,1,1,6,40,5,93,0,Yes,0,Entrée
92,Poulet aux châtaignes,2,2,3,120,8,169,0,No,0,Plat principal
93,crème de châtaignes,2,1,4,45,4,80,50,No,0,Dessert
94,Chèvre en feuilleté,1,1,4,35,4,88,0,No,1,Entrée
95,Quiche aux courgettes et au chèvre,1,1,4,50,9,180,0,No,2,Plat principal
96,Lasagnes aux courgettes et au chèvre,1,1,2,35,9,195,0,No,0,Plat principal
97,"Tourte Poireaux, Jambon et Chèvre",1,1,4,40,6,150,0,No,2,Entrée
98,Chili con carne express,1,1,3,35,9,197,0,Yes,0,Plat principal
